crm,nome,especialidade
12345-SP,Dr. Carlos Oliveira,"Clínica Geral"
54321-RJ,Dra. Ana Souza,"Pediatria, Ginecologia"
98765-MG,Dr. Fernanda Lima,"Cardiologia"
87654-BA,Dra. Lucas Santos,"Dermatologia, Psiquiatria"
23456-PR,Dr. Camila Costa,"Ortopedia"
87654-SC,Dra. Ricardo Pereira,"Oftalmologia, Otorrinolaringologia"
76543-RS,Dr. Isabela Rocha,"Neurologia"
45678-DF,Dra. Gustavo Lima,"Endocrinologia"
34567-ES,Dr. Mariana Oliveira,"Pneumologia, Infectologia"
65432-GO,Dra. Henrique Souza,"Urologia"
