cpf,nome,id_endereco
111.222.333-44,João Silva,12
222.333.444-55,Maria Oliveira,25
333.444.555-66,Carlos Rocha,8
444.555.666-77,Ana Pereira,43
555.666.777-88,Pedro Souza,31
666.777.888-99,Laura Santos,19
777.888.999-00,Rafael Lima,37
888.999.000-11,Fernanda Costa,7
999.000.111-22,Lucas Oliveira,50
123.456.789-09,Mariana Silva,4
234.567.890-12,Gustavo Santos,14
345.678.901-23,Camila Rocha,23
456.789.012-34,Daniel Lima,10
567.890.123-45,Isabela Oliveira,36
678.901.234-56,Henrique Costa,1
789.012.345-67,Amanda Pereira,22
890.123.456-78,Thiago Souza,45
901.234.567-89,Beatriz Lima,18
012.345.678-90,Eduardo Santos,9
345.678.901-90,Cristiane Oliveira,26
456.789.012-91,Roberto Rocha,48
567.890.123-92,Larissa Silva,3
678.901.234-93,Vinícius Lima,47
789.012.345-94,Carolina Souza,5
890.123.456-95,Fábio Oliveira,20
901.234.567-96,Juliana Costa,41
012.345.678-97,Ricardo Pereira,27
123.456.789-98,Patrícia Rocha,34
234.567.890-99,Marcos Lima,6
345.678.901-00,Simone Souza,49
